,Brutto Monat,Brutto Jahr,Geldwerter Vorteil Monat,Geldwerter Vorteil Jahr,Solidaritätszuschlag Monat,Solidaritätszuschlag Jahr,Kirchensteuer Monat,Kirchensteuer Jahr,Lohnsteuer Monat,Lohnsteuer Jahr,Steuern Monat,Steuern Jahr,Rentenversicherung Monat,Rentenversicherung Jahr,Arbeitslosenversicherung Monat,Arbeitslosenversicherung Jahr,Krankenversicherung Monat,Krankenversicherung Jahr,Pflegeversicherung Monat,Pflegeversicherung Jahr,Sozialabgaben Monat,Sozialabgaben Jahr,Netto Monat,Netto Jahr,Steuerklasse,Abrechnungsjahr
Values,2500.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,228.83,2745.96,228.83,2745.96,232.5,2790.0,32.5,390.0,203.75,2445.0,46.88,562.5,515.63,6187.5,1755.55,21066.54,1,2023
Values,2500.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,13.66,163.92,13.66,163.92,232.5,2790.0,32.5,390.0,203.75,2445.0,46.88,562.5,515.63,6187.5,1970.72,23648.58,3,2023
Values,2500.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,208.41,2500.92,208.41,2500.92,232.5,2790.0,32.5,390.0,203.75,2445.0,57.5,690.0,526.25,6315.0,1765.34,21184.08,1,2024
Values,2500.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.5,2790.0,32.5,390.0,203.75,2445.0,57.5,690.0,526.25,6315.0,1973.75,23685.0,3,2024
Values,2583.33,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,246.91,2962.92,246.91,2962.92,240.25,2883.0,33.58,403.0,210.54,2526.5,48.44,581.25,532.81,6393.75,1803.61,21643.33,1,2023
Values,2583.33,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,25.16,301.92,25.16,301.92,240.25,2883.0,33.58,403.0,210.54,2526.5,48.44,581.25,532.81,6393.75,2025.36,24304.33,3,2023
Values,2583.33,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,2712.0,226.0,2712.0,240.25,2883.0,33.58,403.0,210.54,2526.5,59.42,713.0,543.79,6525.5,1813.54,21762.5,1,2024
Values,2583.33,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83,69.96,5.83,69.96,240.25,2883.0,33.58,403.0,210.54,2526.5,59.42,713.0,543.79,6525.5,2033.71,24404.54,3,2024
Values,2666.67,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,265.16,3181.92,265.16,3181.92,248.0,2976.0,34.67,416.0,217.33,2608.0,50.0,600.0,550.0,6600.0,1851.51,22218.08,1,2023
Values,2666.67,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,36.16,433.92,36.16,433.92,248.0,2976.0,34.67,416.0,217.33,2608.0,50.0,600.0,550.0,6600.0,2080.51,24966.08,3,2023
Values,2666.67,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,243.83,2925.96,243.83,2925.96,248.0,2976.0,34.67,416.0,217.33,2608.0,61.33,736.0,561.33,6736.0,1861.5,22338.04,1,2024
Values,2666.67,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,15.66,187.92,15.66,187.92,248.0,2976.0,34.67,416.0,217.33,2608.0,61.33,736.0,561.33,6736.0,2089.67,25076.08,3,2024
Values,2750.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,283.75,3405.0,283.75,3405.0,255.75,3069.0,35.75,429.0,224.13,2689.5,51.56,618.75,567.19,6806.25,1899.06,22788.75,1,2023
Values,2750.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,47.83,573.96,47.83,573.96,255.75,3069.0,35.75,429.0,224.13,2689.5,51.56,618.75,567.19,6806.25,2134.98,25619.79,3,2023
Values,2750.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,261.83,3141.96,261.83,3141.96,255.75,3069.0,35.75,429.0,224.13,2689.5,63.25,759.0,578.88,6946.5,1909.3,22911.54,1,2024
Values,2750.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,26.16,313.92,26.16,313.92,255.75,3069.0,35.75,429.0,224.13,2689.5,63.25,759.0,578.88,6946.5,2144.97,25739.58,3,2024
Values,2833.33,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,302.5,3630.0,302.5,3630.0,263.5,3162.0,36.83,442.0,230.92,2771.0,53.13,637.5,584.38,7012.5,1946.46,23357.5,1,2023
Values,2833.33,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,59.83,717.96,59.83,717.96,263.5,3162.0,36.83,442.0,230.92,2771.0,53.13,637.5,584.38,7012.5,2189.13,26269.54,3,2023
Values,2833.33,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,280.08,3360.96,280.08,3360.96,263.5,3162.0,36.83,442.0,230.92,2771.0,65.17,782.0,596.42,7157.0,1956.84,23482.04,1,2024
Values,2833.33,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,37.16,445.92,37.16,445.92,263.5,3162.0,36.83,442.0,230.92,2771.0,65.17,782.0,596.42,7157.0,2199.76,26397.08,3,2024
Values,2916.67,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,321.41,3856.92,321.41,3856.92,271.25,3255.0,37.92,455.0,237.71,2852.5,54.69,656.25,601.56,7218.75,1993.69,23924.33,1,2023
